"ID","DATE.OF.INTERVIEW","VIP.toilets","ECOSAN.toilets","Inside.waterflush.toilets","Outside.waterflush.toilets","Poor.flush.Inside","Poor.flush.Outside","Pit.Latrine","Disused.Buried","Total.number.of.toilets.0.","Enough.space.another.toilet","Where.do.you.dispose.your.solid.wastes.","Age.of.toilet..Years...Age","Interface.Layout","CONTAINMENT.SUBSTRUCTURE","Condition.of.the.components..Interface...Score.Condition","Condition.of.the.components..Substructure.Containment....Score.Condition","Record.the.observed.shape.of.the.substructure.containment.","Diameter","Length","Is.washing.hand.basin.present.","Any.overflow.flooding.","area.m3"
"36","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Bin which is collected CBEs",21,"Squat hole (Dry toilet)","Pit latrine",2,2,"Rectagular",NA,188,"No","No",4.5
"37","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",15,"Squat hole (Dry toilet)","Pit latrine",3,2,"Rectagular",NA,119,"No","No",4.5
"38","2017-03-20",NA,NA,NA,NA,NA,1,0,1,2,TRUE,"Bin which is collected CBEs",2,"Squat with pour (bucket) flushing system","Septic Tank",NA,NA,"Rectagular",NA,2.9,"No","No",12.5
"39","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",7,"Multiple choice","Pit latrine",2,3,"Rectagular",NA,198,"No","No",4.5
"40","2017-03-20",NA,NA,1,NA,NA,NA,0,NA,1,FALSE,"Rubbish Pit",15,"Sit down toilet with manual (hand) flushing system","Septic Tank",3,3,"Rectagular",NA,148,"Yes","No",12.5
"41","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",NA,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,194,"No","No",4.5
"42","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",10,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,270,"No","No",4.5
"43","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Other (please specify)",9,"Squat hole (Dry toilet)","Pit latrine",NA,NA,"Rectagular",NA,172,"No","No",4.5
"44","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",2,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,220,"No","No",4.5
"45","2017-03-20",NA,NA,3,NA,NA,NA,0,NA,3,FALSE,"Bin which is collected CBEs",16,"Sit down toilet with manual (hand) flushing system","Septic Tank",4,3,"Rectagular",NA,NA,"Yes","No",12.5
"46","2017-03-20",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is collected CBEs",15,"Squat hole (Dry toilet)","Pit latrine",NA,NA,"Rectagular",NA,1.96,"Yes","No",4.5
"47","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",8,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,214,"No","No",4.5
"48","2017-03-20",NA,NA,NA,NA,NA,1,0,NA,1,FALSE,"Bin which is collected CBEs",3,"Sit down toilet with pour (bucket) flushing system","Pit latrine",4,4,"Rectagular",NA,300,"Yes","No",4.5
"49","2017-03-20",1,NA,NA,NA,NA,NA,0,NA,1,TRUE,"Rubbish Pit",6,"Sit down toilet with pour (bucket) flushing system","Pit latrine",4,4,"Rectagular",NA,247,"No","No",4.5
"50","2017-03-20",NA,NA,NA,NA,NA,1,0,1,2,TRUE,"Rubbish Pit",NA,"Sit down toilet with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,2.22,"Yes","No",12.5
"51","2017-03-20",NA,NA,NA,NA,NA,NA,2,NA,2,FALSE,"Bin which is collected CBEs",NA,"Squat hole (Dry toilet)",NA,4,4,"Rectagular",NA,273,"No","No",0
"52","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Bin which is collected CBEs",3,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,3.34,"No","No",4.5
"53","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,214,"No","No",4.5
"54","2017-03-20",NA,NA,NA,NA,NA,NA,3,NA,3,TRUE,"Other (please specify)",4,"Squat hole (Dry toilet)","Pit latrine",NA,NA,"Rectagular",NA,300,"No","No",4.5
"55","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",21,"Sit down toilet with pour (bucket) flushing system","Pit latrine",3,3,"Rectagular",NA,120,"No","No",4.5
"56","2017-03-20",NA,NA,1,NA,NA,NA,0,NA,1,TRUE,"Bin which is collected CBEs",0,"Sit down toilet with manual (hand) flushing system","Septic Tank",5,4,"Rectagular",NA,2.57,"Yes","No",12.5
"57","2017-03-20",2,NA,NA,NA,NA,NA,0,1,3,TRUE,"Bin which is self disposed",5,"Squat hole (Dry toilet)","Pit latrine",3,3,"Circular",2.9,NA,"No","No",4.5
"58","2017-03-20",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Rubbish Pit",2,"Sit down toilet with pour (bucket) flushing system","Septic Tank",3,4,"Rectagular",NA,3,"No","No",12.5
"59","2017-03-20",NA,NA,NA,NA,NA,NA,12,NA,12,TRUE,"Bin which is self disposed",3,"Squat hole (Dry toilet)","Pit latrine",1,3,"Rectagular",NA,169,"No","No",4.5
"60","2017-03-20",NA,1,NA,NA,NA,NA,0,NA,1,FALSE,"Bin which is collected CBEs",9,"Urine Diversion Toilet","Urine diversion toilet",4,4,"Rectagular",NA,230,"No","No",0
"61","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",9,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,150,"No","Yes",4.5
"62","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",9,"Squat hole (Dry toilet)","Pit latrine",3,2,"Rectagular",NA,1.91,"No","No",4.5
"63","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,3.2,"No","No",4.5
"64","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",1,"Sit down toilet with pour (bucket) flushing system","Pit latrine",4,4,"Rectagular",NA,220,"No","No",4.5
"65","2017-03-20",NA,NA,NA,NA,NA,NA,0,11,11,TRUE,"Bin which is collected CBEs",10,"Squat hole (Dry toilet)","Pit latrine",2,1,"Rectagular",NA,2.1,"No","No",4.5
"66","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",NA,"Squat hole (Dry toilet)","Pit latrine",1,1,"Rectagular",NA,167,"No","No",4.5
"67","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",5,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,286,"No","No",4.5
"68","2017-03-20",NA,NA,NA,NA,NA,NA,1,0,1,TRUE,"Bin which is collected CBEs",12,"Squat hole (Dry toilet)","Pit latrine",2,3,"Rectagular",NA,2,"No","No",4.5
"69","2017-03-20",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is collected CBEs",4,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,3.34,"No","No",4.5
"70","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Rubbish Pit",4,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,3.4,"No","No",4.5
"71","2017-03-20",NA,NA,NA,1,NA,NA,0,NA,1,FALSE,"Rubbish Pit",NA,"Sit down toilet with manual (hand) flushing system","Septic Tank",4,4,"Rectagular",NA,4.86,"Yes","No",12.5
"72",NA,NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,182,"No","No",4.5
"73","2017-03-20",1,NA,NA,NA,NA,NA,0,NA,1,FALSE,"Bin which is collected CBEs",NA,"Sit down toilet with manual (hand) flushing system","Septic Tank",3,4,"Rectagular",NA,172,"No","No",12.5
"74","2017-03-20",NA,NA,NA,3,NA,NA,0,NA,3,FALSE,"Rubbish Pit",2,"Sit down toilet with manual (hand) flushing system","Septic Tank",4,4,"Rectagular",NA,350,"No","No",12.5
"75","2017-03-20",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is self disposed",2,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,5,"No","No",4.5
"76","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",NA,"Squat hole (Dry toilet)","Pit latrine",3,1,"Rectagular",NA,151,"No","No",4.5
"77","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",17,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,1.72,"No","No",4.5
"78","2017-03-20",NA,NA,NA,NA,NA,1,1,1,3,TRUE,"Bin which is collected CBEs",12,"Squat hole (Dry toilet)","Pit latrine",1,1,"Rectagular",NA,1.65,"No","No",4.5
"79","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Other (please specify)",7,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,290,"No","No",4.5
"80","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"SKIP",8,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2,"No","No",4.5
"81","2017-03-20",NA,NA,NA,NA,NA,NA,1,0,1,FALSE,"Bin which is collected CBEs",NA,"Other","Pit latrine",4,4,"Rectagular",NA,280,"No","No",4.5
"82","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Rubbish Pit",7,"Squat hole (Dry toilet)","Pit latrine",4,4,"Other (please specify)",NA,NA,"No","No",4.5
"83","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",8,"Squat hole (Dry toilet)","Pit latrine",2,2,"Rectagular",NA,3,"No","No",4.5
"84","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",8,"Squat hole (Dry toilet)","Pit latrine",4,5,"Rectagular",NA,2.5,"No","No",4.5
"85","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",5,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,208,"No","No",4.5
"86","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",NA,"Other","Pit latrine",4,4,"Rectagular",NA,350,"No","No",4.5
"87","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",1,"Squat hole (Dry toilet)","Pit latrine",3,4,"Rectagular",NA,3.3,"No","No",4.5
"88",NA,NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",7,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,3.1,"No","No",4.5
"89","2017-03-20",NA,NA,NA,NA,NA,1,0,1,2,FALSE,"Bin which is collected CBEs",2,"Sit down toilet with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,2.6,"No","No",12.5
"90","2017-03-20",NA,NA,NA,NA,NA,2,0,NA,2,TRUE,"SKIP",7,"Squat with pour (bucket) flushing system","Septic Tank",3,2,"Rectagular",NA,2.3,"No","Yes",12.5
"91",NA,NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is collected CBEs",1,"Multiple choice","Pit latrine",3,4,"Rectagular",NA,2.1,"No","No",4.5
"92","2017-03-20",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Rubbish Pit",2,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,220,"No","No",12.5
"93","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Other (please specify)",NA,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,214,"No","Yes",4.5
"94","2017-03-20",NA,NA,NA,NA,NA,NA,2,NA,2,FALSE,"Other (please specify)",6,"Multiple choice","Pit latrine",3,3,"Rectagular",NA,230,"No","No",4.5
"95","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",4,"Squat hole (Dry toilet)","Pit latrine",3,4,"Rectagular",NA,2.35,"No","No",4.5
"96","2017-03-20",NA,NA,NA,1,NA,NA,0,NA,1,TRUE,"Rubbish Pit",4,"Other","Septic Tank",3,3,"Rectagular",NA,440,"No","No",12.5
"97","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Rubbish Pit",6,"Squat hole (Dry toilet)","Pit latrine",2,3,"Rectagular",NA,283,"No","No",4.5
"98","2017-03-20",NA,NA,NA,NA,NA,NA,1,2,3,TRUE,"Bin which is collected CBEs",7,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.15,"No","No",4.5
"99","2017-03-20",NA,NA,NA,NA,NA,1,0,NA,1,FALSE,"Bin which is collected CBEs",2,NA,NA,NA,NA,"Rectagular",NA,1.21,"Yes","No",0
"100","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",8,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,203,"No","No",4.5
"101","2017-03-20",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Bin which is collected CBEs",1,"Sit down toilet with pour (bucket) flushing system","Septic Tank",5,4,"Rectagular",NA,NA,"Yes","No",12.5
"102","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",10,"Squat hole (Dry toilet)","Pit latrine",4,2,"Rectagular",NA,3,"No","No",4.5
"103","2017-03-20",NA,1,NA,NA,NA,NA,0,NA,1,FALSE,"Bin which is collected CBEs",2,"Squat with pour (bucket) flushing system","Urine diversion toilet",3,3,"Rectagular",NA,127,"No","No",0
"104","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,NA,7,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.6,"No",NA,4.5
"105","2017-03-20",NA,NA,1,NA,NA,NA,1,NA,2,TRUE,"Bin which is collected CBEs",3,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,1.27,"No","No",4.5
"106","2017-03-20",NA,NA,NA,1,NA,NA,0,NA,1,TRUE,"Rubbish Pit",7,"Sit down toilet with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,300,"No","No",12.5
"107","2017-03-20",NA,NA,NA,NA,NA,NA,1,0,1,FALSE,"Rubbish Pit",7,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,320,"No","No",4.5
"108","2017-03-20",NA,NA,NA,NA,NA,1,0,1,2,TRUE,"Bin which is collected CBEs",0,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,3.3,"No","No",12.5
"109","2017-03-20",NA,NA,NA,NA,NA,NA,1,0,1,TRUE,"Bin which is collected CBEs",7,"Squat hole (Dry toilet)","Pit latrine",4,3,"Rectagular",NA,3.3,"No","No",4.5
"110","2017-03-20",NA,NA,NA,1,NA,NA,0,NA,1,FALSE,"Bin which is collected CBEs",6,"Other","Septic Tank",3,4,"Rectagular",NA,208,"No","No",12.5
"111","2017-03-20",NA,NA,NA,2,NA,NA,0,NA,2,FALSE,"Bin which is self disposed",6,"Sit down toilet with pour (bucket) flushing system","Pit latrine",4,4,"Rectagular",NA,300,"No","No",4.5
"112","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",NA,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,270,"No","No",4.5
"113","2017-03-21",NA,NA,NA,NA,NA,1,0,NA,1,FALSE,"Bin which is collected CBEs",3,"Squat with pour (bucket) flushing system","Septic Tank",4,4,NA,NA,NA,"No","No",12.5
"114","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",NA,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,320,"No","No",4.5
"115","2017-03-21",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Bin which is collected CBEs",1,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,1.9,"Yes","No",12.5
"116","2017-03-21",NA,NA,NA,1,NA,NA,0,NA,1,TRUE,"Bin which is collected CBEs",3,"Sit down toilet with manual (hand) flushing system","Septic Tank",4,3,"Rectagular",NA,240,"Yes","No",12.5
"117","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",NA,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,2.24,"No","No",4.5
"118","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Rubbish Pit",6,"Squat hole (Dry toilet)","Pit latrine",2,3,"Rectagular",NA,1.2,"No","No",4.5
"119","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",1,"Other",NA,5,4,"Rectagular",NA,300,"No","No",0
"120","2017-03-14",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Rubbish Pit",NA,"Other","Septic Tank",4,4,"Rectagular",NA,320,"No","No",12.5
"121","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",2,"Squat hole (Dry toilet)","Pit latrine",3,2,"Rectagular",NA,2.8,"No","No",4.5
"122","2017-03-21",2,NA,NA,NA,NA,NA,0,NA,2,TRUE,"Rubbish Pit",2,"Squat with pour (bucket) flushing system","Septic Tank",3,3,"Other (please specify)",NA,NA,"No","No",12.5
"123","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",2,NA,"Pit latrine",3,3,"Rectagular",NA,277,"No","No",4.5
"124","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",3,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,191,"No","No",4.5
"125","2017-03-21",NA,NA,NA,NA,NA,2,0,NA,2,FALSE,"Bin which is collected CBEs",3,"Squat with pour (bucket) flushing system","Septic Tank",3,3,"Rectagular",NA,2.6,"Yes","No",12.5
"126","2017-03-21",NA,NA,NA,1,NA,NA,0,NA,1,TRUE,"Bin which is collected CBEs",3,"Sit down toilet with manual (hand) flushing system","Septic Tank",5,4,"Rectagular",NA,2.88,"Yes","No",12.5
"127","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",3,"Squat hole (Dry toilet)","Pit latrine",4,4,"Circular",200,NA,"No","No",4.5
"128","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",1,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,NA,"No","No",4.5
"129","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",5,"Squat hole (Dry toilet)","Pit latrine",2,2,"Rectagular",NA,1.3,"No","No",4.5
"130","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",2,2,"Rectagular",NA,175,"No","No",4.5
"131","2017-03-21",NA,NA,NA,1,NA,NA,0,NA,1,FALSE,"Bin which is collected CBEs",5,"Sit down toilet with manual (hand) flushing system","Septic Tank",4,4,NA,NA,NA,"Yes","No",12.5
"132","2017-03-21",NA,NA,NA,NA,NA,NA,1,0,1,TRUE,"Bin which is self disposed",19,"Squat hole (Dry toilet)","Other (please specify)",3,3,"Rectagular",NA,2.65,"No","No",0
"133","2017-03-21",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Rubbish Pit",6,"Squat hole (Dry toilet)","Pit latrine",2,2,"Rectagular",NA,170,"Yes","No",4.5
