"ID","Is.the.toilet.easily.accessible.to.the.following.people...Children","Is.the.toilet.easily.accessible.to.the.following.people...Persons.with.dissability","Is.the.toilet.easily.accessible.to.the.following.people...Women.at.night","Is.the.toilet.easily.accessible.to.the.following...Vacuum.Tanker","Is.the.toilet.easily.accessible.to.the.following...Light.Truck","Is.the.toilet.easily.accessible.to.the.following...Push.Cart"
"4070",NA,NA,NA,NA,TRUE,TRUE
"4071",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4072",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4073",NA,NA,NA,NA,TRUE,TRUE
"4074",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4075",NA,NA,NA,NA,TRUE,TRUE
"4076",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4077",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4078",TRUE,NA,NA,NA,TRUE,TRUE
"4079",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4080",NA,NA,NA,NA,TRUE,TRUE
"4081",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4082",NA,NA,NA,NA,TRUE,TRUE
"4083",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4084",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4085",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4086",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4087",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4088",NA,NA,NA,NA,TRUE,TRUE
"4089",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4090",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4091",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4092",TRUE,NA,NA,TRUE,TRUE,TRUE
"4093",NA,NA,NA,NA,TRUE,TRUE
"4094",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4095",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4096",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"4097",TRUE,NA,NA,TRUE,TRUE,TRUE
"4098",TRUE,TRUE,TRUE,NA,NA,TRUE
"4099",TRUE,NA,FALSE,TRUE,TRUE,TRUE
"4100",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4101",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4102",TRUE,NA,NA,NA,NA,TRUE
"4103",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4104",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4105",TRUE,NA,TRUE,NA,TRUE,TRUE
"4106",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4107",TRUE,NA,TRUE,NA,NA,TRUE
"4108",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4109",TRUE,TRUE,TRUE,NA,NA,TRUE
"4110",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4111",TRUE,TRUE,TRUE,NA,NA,TRUE
"4112",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4113",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4114",TRUE,NA,NA,TRUE,TRUE,TRUE
"4115",TRUE,NA,NA,TRUE,TRUE,TRUE
"4116",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4117",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4118",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4119",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4120",TRUE,NA,NA,NA,TRUE,TRUE
"4121",NA,NA,NA,NA,TRUE,TRUE
"4122",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4123",TRUE,NA,NA,TRUE,TRUE,TRUE
"4124",NA,NA,NA,NA,TRUE,TRUE
"4125",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4126",TRUE,NA,NA,TRUE,TRUE,TRUE
"4127",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4128",TRUE,NA,TRUE,NA,TRUE,TRUE
"4129",TRUE,TRUE,TRUE,NA,NA,TRUE
"4130",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4131",TRUE,NA,NA,TRUE,TRUE,TRUE
"4132",TRUE,TRUE,TRUE,NA,NA,TRUE
"4133",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4134",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4135",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4136",NA,NA,TRUE,NA,TRUE,TRUE
"4137",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4138",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"4139",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"4140",TRUE,NA,NA,TRUE,TRUE,TRUE
"4141",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4142",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"4143",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"4144",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4145",TRUE,NA,TRUE,NA,NA,TRUE
"4146",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4147",TRUE,NA,FALSE,TRUE,TRUE,TRUE
"4148",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4149",TRUE,NA,NA,TRUE,TRUE,TRUE
"4150",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"4151",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4152",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4153",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4154",TRUE,TRUE,NA,NA,NA,TRUE
"4155",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"4156",NA,NA,NA,NA,TRUE,TRUE
"4157",TRUE,TRUE,TRUE,NA,NA,TRUE
"4158",TRUE,NA,NA,TRUE,TRUE,TRUE
"4159",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4160",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4161",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"4162",TRUE,TRUE,NA,TRUE,TRUE,NA
"4163",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4164",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4165",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4166",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4167",TRUE,TRUE,TRUE,NA,NA,TRUE
"4168",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4169",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4170",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4171",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4172",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4173",TRUE,NA,TRUE,NA,TRUE,TRUE
"4174",NA,NA,TRUE,NA,TRUE,TRUE
"4175",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4176",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4177",TRUE,TRUE,TRUE,NA,NA,TRUE
"4178",TRUE,TRUE,TRUE,FALSE,NA,TRUE
"4179",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4180",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4181",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4182",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4183",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"4184",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4185",TRUE,TRUE,TRUE,NA,NA,TRUE
"4186",TRUE,TRUE,TRUE,NA,NA,TRUE
"4187",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4188",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4189",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4190",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"4191",NA,NA,NA,NA,TRUE,TRUE
"4192",TRUE,NA,NA,TRUE,TRUE,TRUE
"4193",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4194",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"4195",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4196",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"4197",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"4198",TRUE,TRUE,TRUE,NA,NA,TRUE
"4199",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4200",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4201",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4202",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4203",TRUE,NA,NA,TRUE,TRUE,TRUE
"4204",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4205",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4206",TRUE,FALSE,NA,TRUE,TRUE,TRUE
"4207",TRUE,TRUE,TRUE,NA,NA,TRUE
"4208",TRUE,NA,NA,TRUE,TRUE,TRUE
"4209",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4210",NA,NA,NA,NA,TRUE,TRUE
"4211",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4212",TRUE,TRUE,TRUE,NA,NA,TRUE
"4213",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4214",TRUE,TRUE,TRUE,NA,NA,TRUE
"4215",TRUE,TRUE,TRUE,FALSE,NA,TRUE
"4216",NA,TRUE,TRUE,TRUE,TRUE,TRUE
"4217",NA,NA,NA,NA,TRUE,TRUE
"4218",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4219",TRUE,NA,NA,TRUE,TRUE,TRUE
"4220",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"4221",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4222",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4223",TRUE,TRUE,TRUE,NA,NA,TRUE
"4224",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4225",TRUE,TRUE,TRUE,NA,NA,TRUE
"4226",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4227",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4228",TRUE,TRUE,TRUE,NA,NA,TRUE
"4229",TRUE,TRUE,TRUE,NA,NA,TRUE
"4230",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4231",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4232",TRUE,NA,NA,TRUE,TRUE,TRUE
"4233",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4234",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4235",TRUE,NA,TRUE,NA,NA,TRUE
"4236",TRUE,NA,NA,TRUE,TRUE,TRUE
"4237",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4238",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4239",TRUE,TRUE,TRUE,NA,NA,TRUE
"4240",TRUE,FALSE,TRUE,NA,NA,TRUE
"4241",TRUE,TRUE,TRUE,NA,NA,TRUE
"4242",TRUE,NA,TRUE,NA,NA,NA
"4243",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"4244",TRUE,NA,NA,NA,TRUE,TRUE
"4245",TRUE,NA,NA,NA,NA,TRUE
"4246",TRUE,TRUE,TRUE,NA,NA,TRUE
"4247",TRUE,TRUE,TRUE,NA,NA,TRUE
"4248",TRUE,TRUE,TRUE,NA,NA,TRUE
"4249",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4250",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4251",TRUE,NA,NA,TRUE,TRUE,TRUE
"4252",TRUE,NA,NA,TRUE,TRUE,TRUE
"4253",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4254",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4255",NA,NA,TRUE,NA,TRUE,TRUE
"4256",TRUE,TRUE,TRUE,NA,NA,TRUE
"4257",TRUE,TRUE,TRUE,NA,NA,TRUE
"4258",TRUE,FALSE,NA,TRUE,TRUE,TRUE
"4259",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4260",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4261",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4262",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"4263",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4264",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4265",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4266",TRUE,TRUE,TRUE,NA,NA,TRUE
"4267",TRUE,TRUE,TRUE,NA,NA,TRUE
"4268",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"4269",TRUE,NA,NA,TRUE,TRUE,TRUE
"4270",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4271",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4272",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"4273",NA,NA,TRUE,NA,TRUE,TRUE
"4274",NA,NA,TRUE,NA,TRUE,TRUE
"4275",TRUE,NA,NA,TRUE,TRUE,TRUE
"4276",NA,NA,NA,NA,NA,NA
"4277",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4278",TRUE,NA,TRUE,NA,TRUE,TRUE
"4279",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4280",TRUE,TRUE,TRUE,NA,FALSE,TRUE
"4281",TRUE,FALSE,TRUE,NA,NA,TRUE
"4282",TRUE,TRUE,TRUE,NA,NA,TRUE
"4283",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4284",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4285",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4286",NA,NA,TRUE,NA,TRUE,TRUE
"4287",TRUE,NA,NA,TRUE,TRUE,TRUE
"4288",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4289",TRUE,NA,TRUE,NA,NA,TRUE
"4290",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4291",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4292",NA,NA,TRUE,NA,TRUE,TRUE
"4293",TRUE,TRUE,TRUE,NA,NA,TRUE
"4294",TRUE,TRUE,TRUE,NA,NA,TRUE
"4295",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4296",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4297",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"4298",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4299",NA,NA,NA,TRUE,TRUE,TRUE
"4300",TRUE,TRUE,TRUE,NA,NA,TRUE
"4301",TRUE,TRUE,TRUE,NA,NA,TRUE
"4302",TRUE,TRUE,TRUE,NA,NA,TRUE
"4303",TRUE,NA,NA,TRUE,TRUE,TRUE
"4304",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4305",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4306",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4307",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4308",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4309",TRUE,TRUE,TRUE,NA,NA,TRUE
"4310",TRUE,TRUE,TRUE,NA,NA,TRUE
"4311",TRUE,TRUE,TRUE,NA,NA,TRUE
"4312",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4313",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4314",TRUE,TRUE,TRUE,NA,NA,TRUE
"4315",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4316",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4317",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4318",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4319",TRUE,TRUE,TRUE,NA,NA,TRUE
"4320",TRUE,TRUE,TRUE,NA,NA,TRUE
"4321",TRUE,NA,NA,TRUE,TRUE,TRUE
"4322",TRUE,TRUE,TRUE,NA,NA,TRUE
"4323",NA,TRUE,TRUE,TRUE,TRUE,TRUE
"4324",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4325",TRUE,NA,NA,TRUE,TRUE,TRUE
"4326",TRUE,TRUE,TRUE,NA,NA,NA
"4327",TRUE,NA,FALSE,TRUE,TRUE,TRUE
"4328",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4329",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4330",TRUE,TRUE,TRUE,NA,NA,TRUE
"4331",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4332",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4333",TRUE,TRUE,TRUE,NA,NA,NA
"4334",NA,NA,NA,NA,TRUE,TRUE
"4335",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4336",TRUE,NA,NA,TRUE,TRUE,TRUE
"4337",TRUE,NA,TRUE,NA,NA,TRUE
"4338",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4339",NA,NA,NA,NA,TRUE,TRUE
"4340",TRUE,NA,TRUE,NA,NA,TRUE
"4341",TRUE,TRUE,TRUE,NA,NA,TRUE
"4342",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4343",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4344",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4345",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4346",TRUE,TRUE,TRUE,NA,NA,TRUE
"4347",TRUE,NA,TRUE,NA,NA,TRUE
"4348",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4349",TRUE,NA,NA,TRUE,TRUE,TRUE
"4350",TRUE,NA,TRUE,NA,NA,TRUE
"4351",NA,NA,NA,NA,TRUE,TRUE
"4352",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4353",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4354",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4355",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4356",TRUE,NA,NA,TRUE,TRUE,TRUE
"4357",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4358",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4359",TRUE,TRUE,TRUE,NA,NA,TRUE
"4360",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4361",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4362",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4363",TRUE,TRUE,TRUE,NA,NA,TRUE
"4364",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4365",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4366",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4367",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4368",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4369",FALSE,NA,TRUE,NA,NA,TRUE
"4370",TRUE,NA,NA,TRUE,TRUE,TRUE
"4371",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4372",TRUE,TRUE,TRUE,NA,NA,TRUE
"4373",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"4374",NA,NA,TRUE,NA,TRUE,TRUE
"4375",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4376",TRUE,NA,TRUE,NA,NA,TRUE
"4377",TRUE,TRUE,TRUE,NA,NA,TRUE
"4378",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4379",NA,NA,NA,NA,TRUE,TRUE
"4380",TRUE,FALSE,TRUE,NA,NA,TRUE
"4381",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4382",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4383",TRUE,NA,NA,TRUE,TRUE,TRUE
"4384",TRUE,TRUE,TRUE,FALSE,NA,TRUE
"4385",NA,NA,NA,TRUE,TRUE,TRUE
"4386",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4387",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4388",TRUE,FALSE,NA,TRUE,TRUE,TRUE
"4389",TRUE,NA,NA,TRUE,TRUE,TRUE
"4390",TRUE,TRUE,TRUE,NA,NA,TRUE
"4391",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4392",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4393",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4394",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4395",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4396",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4397",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4398",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4399",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4400",TRUE,TRUE,TRUE,NA,NA,TRUE
"4401",TRUE,NA,NA,TRUE,TRUE,TRUE
"4402",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4403",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4404",TRUE,NA,NA,TRUE,TRUE,TRUE
"4405",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4406",TRUE,TRUE,TRUE,NA,NA,TRUE
"4407",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4408",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4409",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4410",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4411",TRUE,NA,NA,TRUE,TRUE,TRUE
"4412",TRUE,TRUE,TRUE,NA,NA,TRUE
"4413",NA,NA,TRUE,NA,TRUE,TRUE
"4414",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"4415",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4416",TRUE,NA,NA,TRUE,TRUE,TRUE
"4417",NA,NA,NA,NA,TRUE,TRUE
"4418",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4419",TRUE,TRUE,TRUE,NA,NA,TRUE
"4420",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4421",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4422",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4423",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4424",TRUE,TRUE,TRUE,NA,NA,TRUE
"4425",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4426",TRUE,NA,NA,TRUE,TRUE,TRUE
"4427",TRUE,NA,NA,TRUE,TRUE,TRUE
"4428",TRUE,NA,NA,TRUE,TRUE,TRUE
"4429",TRUE,NA,NA,TRUE,TRUE,TRUE
"4430",TRUE,NA,NA,TRUE,TRUE,TRUE
"4431",TRUE,NA,NA,TRUE,TRUE,TRUE
"4432",TRUE,TRUE,TRUE,NA,NA,TRUE
"4433",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4434",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4435",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4436",TRUE,NA,TRUE,NA,TRUE,TRUE
"4437",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4438",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4439",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"4440",TRUE,NA,TRUE,NA,NA,TRUE
"4441",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4442",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4443",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4444",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4445",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4446",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4447",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4448",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4449",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4450",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4451",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4452",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4453",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4454",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4455",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4456",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4457",TRUE,NA,TRUE,NA,NA,TRUE
"4458",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4459",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4460",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4461",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4462",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4463",TRUE,NA,TRUE,NA,TRUE,TRUE
"4464",TRUE,TRUE,TRUE,NA,NA,TRUE
"4465",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4466",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"4467",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"4468",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4469",NA,NA,NA,TRUE,TRUE,TRUE
"4470",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4471",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4472",TRUE,TRUE,TRUE,FALSE,NA,TRUE
"4473",TRUE,TRUE,TRUE,NA,NA,TRUE
"4474",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4475",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4476",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4477",NA,NA,NA,NA,TRUE,TRUE
"4478",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4479",NA,NA,TRUE,TRUE,TRUE,TRUE
"4480",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4481",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4482",TRUE,TRUE,TRUE,NA,NA,TRUE
"4483",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4484",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4485",NA,TRUE,TRUE,TRUE,TRUE,TRUE
"4486",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4487",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4488",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4489",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"4490",TRUE,NA,NA,TRUE,TRUE,TRUE
"4491",NA,NA,TRUE,NA,TRUE,TRUE
"4492",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4493",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4494",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"4495",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4496",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4497",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4498",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4499",TRUE,NA,NA,TRUE,TRUE,TRUE
"4500",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4501",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"4502",TRUE,TRUE,TRUE,NA,FALSE,TRUE
"4503",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4504",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
