"TAKE  PHOTO OF INSIDE THE TOILET","TAKE  PHOTO OF INSIDE THE TOILET (Location Answered) (latitude)","TAKE  PHOTO OF INSIDE THE TOILET (Location Answered) (longitude)","TAKE  PHOTO OF INSIDE THE TOILET (Location Answered - accuracy)","TAKE  PHOTO OF INSIDE THE TOILET (Location Answered - altitude)","TAKE PHOTO OF OUTSIDE THE TOILET/CONTAINMENT ","Perception of the fill level","Condition of the components: Roof - Score Condition","Condition of the components: Wall - Score Condition","Condition of the components: Floor - Score Condition","Condition of the components: Interface - Score Condition","Condition of the components: Substructure/Containment  - Score Condition"
"https://api.mwater.co/v3/images/5baf3b96aa114da6951cc359d66c4463 https://api.mwater.co/v3/images/543b9d474ff64c59ae20cb6418fd1dee",-15.42956,28.2415017,4.90000009536743,1298.7,"https://api.mwater.co/v3/images/f8d980e590e54450931550e9c8465aca",2,1,2,2,2,2
"https://api.mwater.co/v3/images/9dd2441afc2f464ca2e20abeff6384fb",-15.42912,28.2436467,4.30000019073486,1265.3,"https://api.mwater.co/v3/images/92638683eb6e4f5cb7158d5c33476b8f",4,1,3,3,3,3
"https://api.mwater.co/v3/images/48acd424076b4a3e810ee625446d4742",-15.428415,28.243315,4.5,1268.7,"https://api.mwater.co/v3/images/625666c57f3e420fae1e7f1472c4145a",4,4,4,4,4,4
"https://api.mwater.co/v3/images/94527438e1144438817deb8e7535b43f",-15.4302717,28.2414367,4.90000009536743,1274.5,"https://api.mwater.co/v3/images/fab4632e095d4eb7bca77b7e4d88919d",2,NA,1,3,2,1
"https://api.mwater.co/v3/images/2214f9878982465c926a135094674bf2",NA,NA,NA,NA,"https://api.mwater.co/v3/images/f908a79c6aee4280af2acd524b43d9b7",3,1,4,4,4,4
"https://api.mwater.co/v3/images/06f80145b4554df897be0e733a7f1a75",-15.430785,28.2440683,4.30000019073486,1285.1,"https://api.mwater.co/v3/images/a3596ff48f514e2e9ee82d8d190cd34f",3,3,3,4,3,4
"https://api.mwater.co/v3/images/b5c63ac8dec649f897ddcd0699e767d5",-15.4301417,28.2412833,5,1259.6,"https://api.mwater.co/v3/images/ee49c1c405554136b8891ff82cc2b2f9",2,2,2,2,2,3
"https://api.mwater.co/v3/images/7c387b3e53f246c39331ba2380a4fe35",-15.4298167,28.2412233,5,1274.4,"https://api.mwater.co/v3/images/a877b65f2d094ed9a71a8eede754299a",2,4,4,4,4,4
"https://api.mwater.co/v3/images/2e188ba2833141268fecb13e48f00cc0",-15.4311817,28.2438417,4.69999980926513,1266.2,"https://api.mwater.co/v3/images/7cb94ddc46e141668ca2d7103f952e68",4,4,4,4,3,4
"https://api.mwater.co/v3/images/ca51bda141324a1ea670bbb5ffffa7b9",NA,NA,NA,NA,"https://api.mwater.co/v3/images/d5fd4a4e3e904ee1a1ce92cff8f296f5",NA,1,2,4,2,2
"https://api.mwater.co/v3/images/3f62e181acc84b1398c80cd51a98afc3",-15.4308617,28.2439317,5,1286.5,"https://api.mwater.co/v3/images/2203b7dbcb1c46d288f21bd20e5a4a7c",2,1,2,3,3,2
"https://api.mwater.co/v3/images/ebbfe0b7d08d41c191af10a8df16dedb",-15.4293083,28.2440817,5.19999980926513,1277.9,"https://api.mwater.co/v3/images/409b56dea79642a98fe39bb19074477c",4,3,NA,NA,NA,NA
"https://api.mwater.co/v3/images/4cbda3c8d30c4e60ac880722c6f2ab6f",-15.428205,28.243105,4.90000009536743,1276.4,"https://api.mwater.co/v3/images/e41fb8866ae74dd89d3202a53cb31598",3,4,2,4,2,3
"https://api.mwater.co/v3/images/9fe092146d0d4da38f4b0d74100ad560",-15.4314983,28.2442333,4.5,1276.3,"https://api.mwater.co/v3/images/4921994d703d4fc8bc672e18c4bc51a8",4,3,3,4,3,3
"https://api.mwater.co/v3/images/23c91ceaa9294b64a6c909d69c6c86ef",-15.4295683,28.2412717,4.80000019073486,1274.5,"https://api.mwater.co/v3/images/fa9c8f928cfd4ef1b099bcc2d3063e29",3,3,3,2,3,3
"https://api.mwater.co/v3/images/8c96b1589a8940cf8f881666b3d0f93a https://api.mwater.co/v3/images/7770ca4e6d0343feb42f8c16f007515e",-15.4297917,28.2410667,4.5,1272.3,"https://api.mwater.co/v3/images/a9203d1bf65543aea14d288193e412e9",2,1,3,3,3,3
"https://api.mwater.co/v3/images/c1bdbba7115640719da12c61c97f1a84",-15.4282683,28.2433467,4.40000009536743,1270,"https://api.mwater.co/v3/images/74a3018971984a42bdb7645ec19a50be",3,2,2,2,NA,NA
"https://api.mwater.co/v3/images/dcd49ec628fc4e88a8e9f0718de36c15",-15.429835,28.2411233,5.40000009536743,1279.1,"https://api.mwater.co/v3/images/608f0969160d49eb8bf38881129c4a9e",3,4,4,4,3,3
"https://api.mwater.co/v3/images/722aba715d5d4d07bc6a1ca504d46da6",-15.431355,28.24407,4.80000019073486,1286.1,"https://api.mwater.co/v3/images/eccdd4bf0505431b93916315cbdaa762",2,4,3,4,4,3
"https://api.mwater.co/v3/images/f1cdb694cac14cf7bdcadaa05919b3b1",-15.4292533,28.2442683,7.90000009536743,1286.4,"https://api.mwater.co/v3/images/bee21806922d4bb3bc48b4ddd29dd0fb",4,2,2,2,NA,NA
"https://api.mwater.co/v3/images/9804882f215041b793abba5667dd6731",-15.4299183,28.24084,4.59999990463256,1282.7,"https://api.mwater.co/v3/images/d65524031b064aa69df5d255a629cf2b",2,1,4,3,3,3
"https://api.mwater.co/v3/images/dd9c09cf44944c73bed1c79862159bb8 https://api.mwater.co/v3/images/9f31b99eca0f44a294915ef42e3172c5 https://api.mwater.co/v3/images/265fef27b5024ca496ca7485cc445b5e https://api.mwater.co/v3/images/9a19035f68b0499e893303acbc028a6f",-15.4302217,28.2413033,5.09999990463256,1264.8,"https://api.mwater.co/v3/images/75d9c70518ce49a99044126a35705020",3,4,4,4,4,4
"https://api.mwater.co/v3/images/3d5cd6efbf1a4a83882a8c6b1da384b5",-15.4281533,28.2429933,4.59999990463256,1271.3,"https://api.mwater.co/v3/images/9fdcf294ae234802b05b4e25c0fb6160",2,4,4,4,4,4
"https://api.mwater.co/v3/images/e8be2c17d2f041c48086ec8d33be6ccd",-15.4313267,28.2436417,5,1291.5,"https://api.mwater.co/v3/images/814fcd584f604a2293e288a2f3e55a45",4,NA,4,4,4,4
"https://api.mwater.co/v3/images/087db3b4eb154e6dba64fc5eaf1d08a6",NA,NA,NA,NA,"https://api.mwater.co/v3/images/63d13ef5f04e439086143ceede253ad5",4,1,4,4,4,4
"https://api.mwater.co/v3/images/3402d9b0a1934477938933b91988726e",-15.43157,28.24335,6.09999990463256,1276.9,"https://api.mwater.co/v3/images/d88c733607bd460c824ef9d0b72bf985",3,1,4,4,4,4
"https://api.mwater.co/v3/images/b81eb7c2e11d4d139b5377007206b86a",-15.4298467,28.24085,4.19999980926513,1269.7,"https://api.mwater.co/v3/images/af6386950c8b423e865099981c24bf2c",2,1,3,3,3,3
"https://api.mwater.co/v3/images/4505702f99ed43379243af543ac08868 https://api.mwater.co/v3/images/b22df0e265024588a72cc07cacd853ea https://api.mwater.co/v3/images/f26c06625c0c4291bcedb2ff030fe449 https://api.mwater.co/v3/images/6eabd2fa98a84b64b141a071076ce488 https://api.mwater.co/v3/images/3f67924a4d094f0b840ad0a75c056682",-15.4279033,28.2424217,4.90000009536743,1282.6,"https://api.mwater.co/v3/images/ff039ad66e6f4ac1af90d7fba2551840",2,1,3,NA,NA,NA
"https://api.mwater.co/v3/images/156db03f51774b69a072ca48ee811017 https://api.mwater.co/v3/images/046872a5519f45feb0283de0aa49aa17",-15.429865,28.2405267,4.80000019073486,1264.2,"https://api.mwater.co/v3/images/3ef79e32222f4a71abd16d6d3c9caf87",3,1,3,3,3,3
"https://api.mwater.co/v3/images/5450a151c1bb4e89be09fbf0ea304c75",-15.4293567,28.24463,4.90000009536743,1285.3,"https://api.mwater.co/v3/images/d9efa6b7215d47d785cb28fbcbf89fd2",3,5,4,4,5,4
"https://api.mwater.co/v3/images/e058e33de699461b85b8ef987f5c0f94",-15.4299583,28.2409617,4.59999990463256,1276.3,"https://api.mwater.co/v3/images/b34c65178a4047f99da28f3f1dfd40c6",3,3,3,3,3,3
"https://api.mwater.co/v3/images/a0c966c1048845c6927b4e7130e16e8b",-15.4310833,28.24365,7,1288.7,"https://api.mwater.co/v3/images/4513354de7af4c7aadf95ab1a8c7a119",4,1,4,4,3,4
"https://api.mwater.co/v3/images/617456bbd0484f80b794f395320499eb",-15.4276983,28.2426767,4.69999980926513,1281.6,"https://api.mwater.co/v3/images/7b726b3dd33341ec9835bf243bfc5abb",3,1,1,3,1,3
"https://api.mwater.co/v3/images/5733d18c66d245be8c365f623bd2a65e",NA,NA,NA,NA,"https://api.mwater.co/v3/images/67e925f73cd54aa091c2603aa26d45df",2,4,4,4,4,4
"https://api.mwater.co/v3/images/585e3ee0c7ea4fbb88c09e1ecbeff333 https://api.mwater.co/v3/images/77e9f08413c548dfb0cbaccb692ae7cc",-15.4294783,28.2405667,5.80000019073486,1275.8,"https://api.mwater.co/v3/images/7b91cb56ecca45f4aed02fc28f47b15a",3,1,3,3,3,3
"https://api.mwater.co/v3/images/a216dcbf68514c6c898cb7840215bd2c",-15.4309733,28.2436267,4.69999980926513,1275.7,"https://api.mwater.co/v3/images/0d3ad4d1a2f648c79221069825956839",3,3,3,3,3,2
"https://api.mwater.co/v3/images/ffc341af575646bbb25863a5e691dfda",-15.4308733,28.243625,4.5,1272.6,"https://api.mwater.co/v3/images/c3ba80074654494b8edaa4d7914c3c78",4,1,4,4,4,4
"https://api.mwater.co/v3/images/4d95feb996074718a3e2bee4f77c99c1",-15.4278283,28.2430283,4.90000009536743,1271.7,"https://api.mwater.co/v3/images/3457ba6cdbfe436e928d749321bc2b6e",4,4,4,4,4,4
"https://api.mwater.co/v3/images/79d2c7701e2e41ea98a958b1d8499a50",-15.4293883,28.2446633,4.80000019073486,1277.2,"https://api.mwater.co/v3/images/48a4e6fdb4964f21afa272fed94627ab",1,1,2,2,2,1
"https://api.mwater.co/v3/images/df450975b4ae477b8327cd2a2baf9f9a",-15.4277383,28.2431,5,1263.2,"https://api.mwater.co/v3/images/80c8b0b3b52140b2935c93d51dd25541",2,1,1,1,1,1
"https://api.mwater.co/v3/images/e1c31c493c42442c8b1bea5004ab5ac9",NA,NA,NA,NA,"https://api.mwater.co/v3/images/d9fe51aa44324186b679f095a7bf50b6",2,1,4,4,4,4
"https://api.mwater.co/v3/images/458662f7d7b04f55a0e93173dd7c8ea2",-15.429475,28.2447667,4.40000009536743,1271,"https://api.mwater.co/v3/images/629ef62d89a54498a753860e6dabd68b",2,1,3,2,2,3
"https://api.mwater.co/v3/images/0910976436b548e0ab022a7fc2c7fd1e https://api.mwater.co/v3/images/6bca52eb4d934d2c9cd5c420b9dd17f7",-15.4311083,28.242975,9,1242.4,"https://api.mwater.co/v3/images/f5213288624049beb63b11031f097f5e",2,1,3,3,3,3
"https://api.mwater.co/v3/images/179bce1b9a1b40699dad38d4c5510948",-15.431325,28.24278,6.40000009536743,1273.4,"https://api.mwater.co/v3/images/4fcdc4cc88794a76b6ff1f03c78f4879",2,1,4,4,4,4
"https://api.mwater.co/v3/images/bd87c42ceed9454ea3ec7a89702e0aaf",-15.43152,28.242875,4.40000009536743,1241.1,"https://api.mwater.co/v3/images/4fe5205e3b67462581a91f656802c0dc",3,4,4,4,4,4
"https://api.mwater.co/v3/images/be99d540f5914a138b8b79482d987242",-15.4276333,28.2430383,4.5,1267.6,"https://api.mwater.co/v3/images/13405c1ab3f047d6bc121dba7e584c0c",2,3,3,3,3,3
"https://api.mwater.co/v3/images/cb6af977a2e04896834ba9a286ac741f",-15.431185,28.2428533,4.90000009536743,1270.6,"https://api.mwater.co/v3/images/aece7946084945f6ae70eefdd0ca9dc7",4,1,3,3,3,4
"https://api.mwater.co/v3/images/91f47b0590954009999fd04d2d481e4a",NA,NA,NA,NA,"https://api.mwater.co/v3/images/b450b371171441c88f3c337f185bae3c",3,5,4,4,4,4
"https://api.mwater.co/v3/images/ec2220a426a74058999d11c29bae4b3e",-15.4311217,28.2432967,5.59999990463256,1341.3,"https://api.mwater.co/v3/images/5bf1fc887add4ff688b1f7daee785c5e",3,1,3,4,3,3
"https://api.mwater.co/v3/images/7988b14cf9654045a3120df42577be4b",-15.4279233,28.2433533,4.80000019073486,1273.2,"https://api.mwater.co/v3/images/42246b9c811644bba6f4a7dfecc3bea6",1,1,3,3,3,1
"https://api.mwater.co/v3/images/a538bc124487491ba7a7a0b77d01cad0",-15.4308933,28.2429567,5,1293.8,"https://api.mwater.co/v3/images/c6ae9b5703854f4b86cf554b48d85644",3,2,3,3,3,3
"https://api.mwater.co/v3/images/2ed25e170c8949ca82f06935016c4324",-15.429515,28.244595,5,1277.9,"https://api.mwater.co/v3/images/23009d8da8f044fa87a137479a6c1226",1,2,2,2,1,1
"https://api.mwater.co/v3/images/f045478b87174bf7b8da158c00dffd5d",-15.4274917,28.24326,5,1280.1,"https://api.mwater.co/v3/images/5a5d7d89c697485ab10d6b28b3e02c2f",2,3,3,3,3,3
"https://api.mwater.co/v3/images/3b36dfa634b84393a2f0b1ccc5b5eea8",-15.4310317,28.24335,4.90000009536743,1281.1,"https://api.mwater.co/v3/images/3f266402d2ca431292b9e5e248d48450",2,3,3,3,3,3
"https://api.mwater.co/v3/images/2fb2da66c6d940e6a1ff5d8ff451be12",NA,NA,NA,NA,"https://api.mwater.co/v3/images/611b81e062454682811b2c2da44a1ddd",3,4,4,4,4,4
"https://api.mwater.co/v3/images/4fc9de62f18941dd8ba0270b0df19c6c",-15.4308967,28.2433833,4.80000019073486,1298.6,"https://api.mwater.co/v3/images/47d8dfcdfdb64fd1be80b1378680a736",2,4,4,4,4,4
"https://api.mwater.co/v3/images/58298e3c56a646b58b457c62092a2a9a https://api.mwater.co/v3/images/b740de7201ff4b23835194ddfece0608",-15.4309083,28.2434483,4.80000019073486,1279.7,"https://api.mwater.co/v3/images/9be387d14e764252bd5b5d8af3b32826",4,1,3,3,2,2
"https://api.mwater.co/v3/images/31cd6eb79262467cb12640772f6094e6",-15.4296317,28.2444383,4.90000009536743,1257.1,"https://api.mwater.co/v3/images/25e493088f594f9285e52d447bd25a1d",3,1,2,4,4,5
"https://api.mwater.co/v3/images/2151aae5afd54d46adfad4b6e934677c",-15.4275517,28.2437883,4.5,1306.6,"https://api.mwater.co/v3/images/5e43f8003df84137883c50c54b907ab9",3,1,2,3,3,3
"https://api.mwater.co/v3/images/71439603fccc4c51a0e62125a2b44a3c",NA,NA,NA,NA,"https://api.mwater.co/v3/images/09755c38273846faa0c4474c898e4687",2,2,4,4,4,4
"https://api.mwater.co/v3/images/60577c29208a43daa1a16d19d2bb05c0",-15.4306883,28.24361,4.5,1275.9,"https://api.mwater.co/v3/images/475029bd4a9643088f9d4ae7c2d02bda",4,1,4,4,3,4
"https://api.mwater.co/v3/images/8d500cccd4fb42d187621515df4ee9a2",-15.4306033,28.2434383,4.90000009536743,1271.6,"https://api.mwater.co/v3/images/d71ad21152f74fddb8eab81b251f9548",2,1,2,3,3,3
"https://api.mwater.co/v3/images/0e1b95a4e70e4f6a96bffd2ee8dcd1fe",-15.4299417,28.2445833,4.59999990463256,1277.7,"https://api.mwater.co/v3/images/4e10c9e1bd1d42de853c02392808ef55",2,3,4,4,4,4
"https://api.mwater.co/v3/images/1176a081c36d4aaba5bf51967d71afdf",-15.4306583,28.2432433,5.30000019073486,1266.9,"https://api.mwater.co/v3/images/24aa6daadcc940f193ef41bd3f7b3824",2,1,3,3,3,2
"https://api.mwater.co/v3/images/961c7100ad334c869dae50f566a4770b",-15.4301683,28.2446183,4.30000019073486,1301.5,"https://api.mwater.co/v3/images/d2fd7fa59f4d4be0b8f750edf8f61a36",1,3,3,3,3,4
"https://api.mwater.co/v3/images/e56ab4a9c4aa4918b798ad71110e5f80",NA,NA,NA,NA,"https://api.mwater.co/v3/images/6608c234a32e464b914c85218f322b56",3,1,4,4,4,4
"https://api.mwater.co/v3/images/30d07ead7b2e416ca869f39e838fa02b",-15.42769,28.2434683,4.80000019073486,1284.1,"https://api.mwater.co/v3/images/47add80bf3864c7580f6d2a541618970",1,1,2,3,3,3
"https://api.mwater.co/v3/images/98e1f85936914959815e6549b07c48d5 https://api.mwater.co/v3/images/9dad4fdc39f7464c9711345d23e95b51",-15.427785,28.2441733,4.80000019073486,1283.8,"https://api.mwater.co/v3/images/d7c0f15bb22f427fa87e23448c8015e5",2,1,3,3,3,3
"https://api.mwater.co/v3/images/0d12e72c196f4733bfd5b58460bec434",-15.4302983,28.2431667,4.90000009536743,1273.7,"https://api.mwater.co/v3/images/252d027571a24208a39b6842d1d77e38",3,4,4,3,3,4
"https://api.mwater.co/v3/images/ec44fb9ab0d64ed481882e1b117a3e02",-15.42961,28.240705,4.90000009536743,1275,"https://api.mwater.co/v3/images/9d743f9c7fb04cfe8c111fae517c7cd4",3,1,3,3,3,3
"https://api.mwater.co/v3/images/10c14fdfaa3a4d65977342228daf85bb",-15.4297283,28.240035,4.5,1278.4,"https://api.mwater.co/v3/images/e01f4ecf320f4b43af00ca6964b53e61",3,1,2,2,2,3
"https://api.mwater.co/v3/images/398aef4975484c95b590e1aa254f762c",-15.4295167,28.2447867,5,1281.7,"https://api.mwater.co/v3/images/945585d907f44fffb51dc4108b8d7ba3",2,1,2,1,3,3
"https://api.mwater.co/v3/images/e49c829d3d364025adbc0977417434a7",-15.43069,28.2427117,4.69999980926513,1284.1,"https://api.mwater.co/v3/images/1cbdad7eb17543ee87c4853b45265481",4,NA,NA,NA,NA,NA
"https://api.mwater.co/v3/images/d5eb05c6cc1145639dd0e3a2dd9fc7c6",NA,NA,NA,NA,"https://api.mwater.co/v3/images/96d3b8f23a9b4ae4a95000af907f5a3f",2,1,4,4,4,4
"https://api.mwater.co/v3/images/a80c8a007f87465f801277551103c384",-15.42998,28.24041,4.69999980926513,1275,"https://api.mwater.co/v3/images/57b9151c61214bc19268c1fd1e62356e",3,3,4,4,5,4
"https://api.mwater.co/v3/images/a460156de56043b98f783ab8b0d6e1d5",-15.4293283,28.2450083,7.90000009536743,1285,"https://api.mwater.co/v3/images/ee464d7c08da48a1895a3666ee3f6c5e",2,1,2,2,4,2
"https://api.mwater.co/v3/images/e9d8dcdd230d4236a5b34182b09ea9a4",-15.4301783,28.243095,4.90000009536743,1275.4,"https://api.mwater.co/v3/images/e32c57c503674d09b273b7fd8712e2ef",2,3,3,3,3,3
"https://api.mwater.co/v3/images/8941ee61069042e1b7dc4aa2a1a24a2b",-15.4310933,28.24284,5,1282.6,"https://api.mwater.co/v3/images/9b9cae29cba74d8b85a8454ba623bf8c",2,1,3,3,3,3
"https://api.mwater.co/v3/images/619b8a6dbcc64c029316f8948bde6f1d",-15.4310083,28.2427567,7.59999990463256,1282.3,"https://api.mwater.co/v3/images/835f0b387f0b471a9c1e33e7aa68bca9",4,NA,3,3,3,3
"https://api.mwater.co/v3/images/4adad9d2ba1545a0b1068b7800cbebd4",-15.4277,28.2437983,4.90000009536743,1287.4,"https://api.mwater.co/v3/images/f31f7761f5654eeeaeac9d4fd8d41594",4,4,4,4,4,4
"https://api.mwater.co/v3/images/54b1a38bcf2b4699bbb787600cca887f",-15.4296333,28.239945,4.80000019073486,1279.5,"https://api.mwater.co/v3/images/ba3827517f2b422a961e0fccf833299b",3,1,3,3,3,3
"https://api.mwater.co/v3/images/04601ce5c898459796e29923766a5603",-15.42954,28.244985,4.69999980926513,1284.2,"https://api.mwater.co/v3/images/866933778b604a08bf57ba3b10df8196",4,1,4,4,4,4
"https://api.mwater.co/v3/images/eaae142fe05e42238f021f7837401724",-15.429065,28.244645,4.59999990463256,1278.1,"https://api.mwater.co/v3/images/6ce2bd42b1604647a02cf827cd643be1",3,1,2,4,4,3
"https://api.mwater.co/v3/images/227eec5650c7427f84913cd2f049cc34",-15.4294817,28.2401467,4.90000009536743,1293.8,"https://api.mwater.co/v3/images/07c3974b2e6a44f19591bcd07d0cfb18",1,1,3,3,3,4
"https://api.mwater.co/v3/images/36789fd297b64323bc626e25e42f75a8",-15.4290367,28.2398867,4.59999990463256,1281.2,"https://api.mwater.co/v3/images/b73c7ad5648e49028223cc42efadd850",3,4,4,4,4,4
"https://api.mwater.co/v3/images/9af66fb41d0a46f2a810e84d93ff091d",-15.429375,28.240325,4.80000019073486,1290,"https://api.mwater.co/v3/images/4e2e72794e844e01b316686dd5f310ce",2,1,3,3,3,3
"https://api.mwater.co/v3/images/6e940972477345e280a9e851316565a1",-15.4306833,28.2418033,4.90000009536743,1279.3,"https://api.mwater.co/v3/images/a125ddf3300e4e319ee44fe97d61c849",2,1,4,4,4,4
"https://api.mwater.co/v3/images/b827d08d619c458eb9475beaa5ec019c",-15.4294683,28.2403417,4.69999980926513,1269.4,"https://api.mwater.co/v3/images/e3d5eb2d840e453bbc036a46e84c033c",5,1,4,4,4,4
"https://api.mwater.co/v3/images/4185da6aca8f409abbec36df59af9701",-15.431085,28.2419283,4.19999980926513,1272.4,"https://api.mwater.co/v3/images/0bd6dfdab39b43d6b9eac911af2cc373",4,1,4,4,4,4
